"X","Cell","Run","Read_type","Reads","Align_rate","Aligned_reads","RNAseq","Aligned_reads_pair_adj"
197,"HUVEC","SRR9016988","paired",25491098,81.4,20749753.772,"Bulk",10374876.886
198,"HUVEC","SRR9016989","paired",21044261,83.12,17491989.7432,"Bulk",8745994.8716
199,"HUVEC","SRR9016990","paired",22337851,81.16,18129399.8716,"Bulk",9064699.9358
200,"HUVEC","SRR9016991","paired",21761020,81.16,17661243.832,"Bulk",8830621.916
201,"HUVEC","SRR9016992","paired",26468008,81.18,21486728.8944,"Bulk",10743364.4472
202,"HUVEC","SRR9016993","paired",24763878,81.48,20177607.7944,"Bulk",10088803.8972
203,"HUVEC","SRR9016994","paired",24297692,81.82,19880371.5944,"Bulk",9940185.7972
204,"HUVEC","SRR9016995","paired",24337415,80.21,19521040.5715,"Bulk",9760520.28575
205,"HUVEC","SRR9016996","paired",26769164,80.68,21597361.5152,"Bulk",10798680.7576
206,"HUVEC","SRR9016997","paired",23660256,79.09,18712896.4704,"Bulk",9356448.2352
207,"HUVEC","SRR9016998","paired",23393637,80.73,18885683.1501,"Bulk",9442841.57505
208,"HUVEC","SRR9016999","paired",25560905,80.97,20696664.7785,"Bulk",10348332.38925
209,"HUVEC","SRR9017000","paired",24130729,80.23,19360083.8767,"Bulk",9680041.93835
210,"HUVEC","SRR9017001","paired",27101130,80.43,21797438.859,"Bulk",10898719.4295
211,"HUVEC","SRR9017002","paired",31434070,82.83,26036840.181,"Bulk",13018420.0905
212,"HUVEC","SRR9017003","paired",30776429,82.7,25452106.783,"Bulk",12726053.3915
213,"HUVEC","SRR9163307","paired",9712293,93.04,9036317.4072,"Bulk",4518158.7036
214,"HUVEC","SRR9163308","paired",6660713,91.92,6122527.3896,"Bulk",3061263.6948
215,"HUVEC","SRR9163309","paired",6626756,91.65,6073421.874,"Bulk",3036710.937
216,"HUVEC","SRR9163310","paired",6338011,91.92,5825899.7112,"Bulk",2912949.8556
217,"HUVEC","SRR9327497","paired",32036561,79.19,25369752.6559,"Bulk",12684876.32795
218,"HUVEC","SRR9327498","paired",37884772,79.33,30053989.6276,"Bulk",15026994.8138
219,"HUVEC","SRR9327499","paired",36406085,77.84,28338496.564,"Bulk",14169248.282
220,"Lung","SRR10066475","unpaired",13066057,69.44,9073069.9808,"Ribo-tag",9073069.9808
221,"Lung","SRR10066476","unpaired",22062132,76.85,16954748.442,"Ribo-tag",16954748.442
222,"Lung","SRR10066477","unpaired",22313470,76.79,17134513.613,"Ribo-tag",17134513.613
223,"Lung","SRR10066478","unpaired",13395983,76.81,10289454.5423,"Ribo-tag",10289454.5423
224,"Lung","SRR10066479","unpaired",13314424,76.64,10204174.5536,"Ribo-tag",10204174.5536
225,"Lung","SRR10066480","unpaired",30924701,83.47,25812847.9247,"Ribo-tag",25812847.9247
226,"Lung","SRR10066481","unpaired",31277594,83.44,26098024.4336,"Ribo-tag",26098024.4336
227,"Lung","SRR10066482","unpaired",18787010,83.44,15675881.144,"Ribo-tag",15675881.144
228,"Lung","SRR10066483","unpaired",18527254,83.32,15436908.0328,"Ribo-tag",15436908.0328
229,"Lung","SRR10066484","unpaired",16304424,95.18,15518550.7632,"Ribo-tag",15518550.7632
230,"Lung","SRR10066485","unpaired",18594705,79.13,14713990.0665,"Ribo-tag",14713990.0665
231,"Lung","SRR10124916","unpaired",51219547,96.22,49283448.1234,"Bulk",49283448.1234
232,"Lung","SRR10124917","unpaired",43851769,93.97,41207507.3293,"Bulk",41207507.3293
233,"Lung","SRR10124918","unpaired",53929354,94.41,50914703.1114,"Bulk",50914703.1114
234,"Lung","SRR3892735","unpaired",7640305,98.44,7521116.242,"Bulk",7521116.242
235,"Lung","SRR3892736","unpaired",8149618,98.38,8017594.1884,"Bulk",8017594.1884
236,"Lung","SRR3892737","unpaired",7728693,98.41,7605806.7813,"Bulk",7605806.7813
237,"Lung","SRR3892738","unpaired",7928366,98.33,7795962.2878,"Bulk",7795962.2878
238,"Lung","SRR6835812","unpaired",43697988,88.9,38847511.332,"Bulk",38847511.332
239,"Lung","SRR6835813","unpaired",37362387,89.42,33409446.4554,"Bulk",33409446.4554
240,"Lung","SRR8309033","paired",83786137,98.2,82277986.534,"Bulk",41138993.267
241,"Lung","SRR8309034","paired",103086183,98.33,101364643.7439,"Bulk",50682321.87195
242,"Lung","SRR8309035","paired",71879971,98.48,70787395.4408,"Bulk",35393697.7204
243,"Lung","SRR8309036","paired",62416403,98.52,61492640.2356,"Bulk",30746320.1178
